abashed,more abashed,most abashed
noxious,more noxious,most noxious
nuanced,more nuanced,most nuanced
nubile,more nubile,most nubile
numb,more numb,most numb
numbing,more numbing,most numbing
numerous,more numerous,most numerous
numinous,more numinous,most numinous
nutlike,more nutlike,most nutlike
nutritional,more nutritional,most nutritional
nutritious,more nutritious,most nutritious
nuts,more nuts,most nuts
nutty,nuttier,nuttiest
oafish,more oafish,most oafish
obdurate,more obdurate,most obdurate
obedient,more obedient,most obedient
obese,more obese,most obese
objectionable,more objectionable,most objectionable
obliging,more obliging,most obliging
oblique,more oblique,most oblique
oblivious,more oblivious,most oblivious
obnoxious,more obnoxious,most obnoxious
obscene,more obscene,most obscene
obscure,more obscure,most obscure
obsequious,more obsequious,most obsequious
observant,more observant,most observant
obsessional,more obsessional,most obsessional
obsessive,more obsessive,most obsessive
obstinate,more obstinate,most obstinate
obstreperous,more obstreperous,most obstreperous
obstructive,more obstructive,most obstructive
obtrusive,more obtrusive,most obtrusive
obtuse,more obtuse,most obtuse
obvious,more obvious,most obvious
odious,more odious,most odious
odorous,more odorous,most odorous
offbeat,more offbeat,most offbeat
#,offhand,['off·hand·ed'],[],[],more ~; most ~
officious,more officious,most officious
off-key,more off-key,most off-key
off-kilter,more off-kilter,most off-kilter
off-putting,more off-putting,most off-putting
off-the-wall,more off-the-wall,most off-the-wall
oily,oilier/more oily,oiliest/most oily
old,older,oldest
old-fashioned,more old-fashioned,most old-fashioned
old-line,more old-line,most old-line
old-school,more old-school,most old-school
old-timey,more old-timey,most old-timey
ominous,more ominous,most ominous
omnivorous,more omnivorous,most omnivorous
onerous,more onerous,most onerous
opaque,more opaque,most opaque
open,opener/more open,openest/most open
openhanded,more openhanded,most openhanded
open-hearted,more open-hearted,most open-hearted
open-minded,more open-minded,most open-minded
openmouthed,more openmouthed,most openmouthed
operatic,more operatic,most operatic
opinionated,more opinionated,most opinionated
opportune,more opportune,most opportune
opportunistic,more opportunistic,most opportunistic
oppositional,more oppositional,most oppositional
oppressive,more oppressive,most oppressive
optimistic,more optimistic,most optimistic
opulent,more opulent,most opulent
oratorical,more oratorical,most oratorical
ordered,more ordered,most ordered
orderly,more orderly,most orderly
ordinary,more ordinary,most ordinary
ornate,more ornate,most ornate
ornery,ornerier/more ornery,orneriest/most ornery
ostentatious,more ostentatious,most ostentatious
otherworldly,more otherworldly,most otherworldly
OTT,more OTT,most OTT
outdated,more outdated,most outdated
outdoorsy,more outdoorsy,most outdoorsy
outlandish,more outlandish,most outlandish
outmoded,more outmoded,most outmoded
out-of-date,more out-of-date,most out-of-date
out-of-the-way,more out-of-the-way,most out-of-the-way
outrageous,more outrageous,most outrageous
outré,more outré,most outré
outspoken,more outspoken,most outspoken
out-there,more out-there,most out-there
overactive,more overactive,most overactive
overbearing,more overbearing,most overbearing
overblown,more overblown,most overblown
overcast,more overcast,most overcast
overcrowded,more overcrowded,most overcrowded
overdressed,more overdressed,most overdressed
overjoyed,more overjoyed,most overjoyed
overpowering,more overpowering,most overpowering
overrated,more overrated,most overrated
overt,more overt,most overt
over-the-top,more over-the-top,most over-the-top
overweight,more overweight,most overweight
overwhelming,more overwhelming,most overwhelming
overwrought,more overwrought,most overwrought
overzealous,more overzealous,most overzealous
packable,more packable,most packable
pacy,pacier,paciest
painful,more painful,most painful
painless,more painless,most painless
painstaking,more painstaking,most painstaking
palatable,more palatable,most palatable
palatial,more palatial,most palatial
pale,paler/more pale,palest/most pale
pallid,more pallid,most pallid
pally,more pally,most pally
palpable,more palpable,most palpable
palsy,palsier,palsiest
palsy-walsy,more palsy-walsy,most palsy-walsy
paltry,paltrier/more paltry,paltriest/most paltry
pampered,more pampered,most pampered
panicky,more panicky,most panicky
panic-stricken,more panic-stricken,most panic-stricken
papery,more papery,most papery
paradigmatic,more paradigmatic,most paradigmatic
paradoxical,more paradoxical,most paradoxical
paramount,more paramount,most paramount
parched,more parched,most parched
pardonable,more pardonable,most pardonable
parsimonious,more parsimonious,most parsimonious
partisan,more partisan,most partisan
passionate,more passionate,most passionate
pasty,pastier,pastiest
patchy,patchier/more patchy,patchiest/most patchy
pathetic,more pathetic,most pathetic
pathogenic,more pathogenic,most pathogenic
patient,more patient,most patient
patriotic,more patriotic,most patriotic
patronizing,more patronizing,most patronizing
paunchy,paunchier/more paunchy,paunchiest/most paunchy
peaceable,more peaceable,most peaceable
peaceful,more peaceful,most peaceful
peachy,peachier/more peachy,peachiest/most peachy
peaty,peatier,peatiest
peckish,more peckish,most peckish
peculiar,more peculiar,most peculiar
pedantic,more pedantic,most pedantic
peeved,more peeved,most peeved
peevish,more peevish,most peevish
pejorative,more pejorative,most pejorative
pellucid,more pellucid,most pellucid
pendulous,more pendulous,most pendulous
penetrable,more penetrable,most penetrable
penetrating,more penetrating,most penetrating
penitent,more penitent,most penitent
pensive,more pensive,most pensive
penurious,more penurious,most penurious
peppery,more peppery,most peppery
peppy,peppier/more peppy,peppiest/most peppy
perceptible,more perceptible,most perceptible
perceptive,more perceptive,most perceptive
percussive,more percussive,most percussive
peremptory,more peremptory,most peremptory
perfidious,more perfidious,most perfidious
perfunctory,more perfunctory,most perfunctory
perilous,more perilous,most perilous
perishable,more perishable,most perishable
perky,perkier/more perky,perkiest/most perky
permanent,more permanent,most permanent
permeable,more permeable,most permeable
permissive,more permissive,most permissive
pernicious,more pernicious,most pernicious
pernickety,more pernickety,most pernickety
perplexed,more perplexed,most perplexed
perplexing,more perplexing,most perplexing
persevering,more persevering,most persevering
persistent,more persistent,most persistent
persnickety,more persnickety,most persnickety
personable,more personable,most personable
perspicacious,more perspicacious,most perspicacious
persuasive,more persuasive,most persuasive
pert,more pert,most pert
pertinent,more pertinent,most pertinent
perturbed,more perturbed,most perturbed
pervasive,more pervasive,most pervasive
perverse,more perverse,most perverse
perverted,more perverted,most perverted
pesky,peskier,peskiest
pessimistic,more pessimistic,most pessimistic
petite,more petite,most petite
petty,pettier/more petty,pettiest/most petty
petulant,more petulant,most petulant
phallic,more phallic,most phallic
phat,phatter,phatest
phenomenal,more phenomenal,most phenomenal
phlegmatic,more phlegmatic,most phlegmatic
phobic,more phobic,most phobic
photogenic,more photogenic,most photogenic
photosensitive,more photosensitive,most photosensitive
picayune,more picayune,most picayune
picky,pickier,pickiest
picture-perfect,more picture-perfect,most picture-perfect
picturesque,more picturesque,most picturesque
piecemeal,more piecemeal,most piecemeal
piercing,more piercing,most piercing
pigeon-toed,more pigeon-toed,most pigeon-toed
piggish,more piggish,most piggish
piggy,more piggy,most piggy
pigheaded,more pigheaded,most pigheaded
pimpled,more pimpled,most pimpled
pimply,pimplier/more pimply,pimpliest/most pimply
pinched,more pinched,most pinched
pinheaded,more pinheaded,most pinheaded
piquant,more piquant,most piquant
pissed,more pissed,most pissed
piteous,more piteous,most piteous
pithy,pithier/more pithy,pithiest/most pithy
pitiable,more pitiable,most pitiable
pitiful,more pitiful,most pitiful
pitiless,more pitiless,most pitiless
pitying,more pitying,most pitying
pivotal,more pivotal,most pivotal
placid,more placid,most placid
plain,plainer/more plain,plainest/most plain
plainspoken,more plainspoken,most plainspoken
plaintive,more plaintive,most plaintive
plangent,more plangent,most plangent
plantlike,more plantlike,most plantlike
plastered,more plastered,most plastered
platitudinous,more platitudinous,most platitudinous
plausible,more plausible,most plausible
played-out,more played-out,most played-out
playful,more playful,most playful
pleasant,pleasanter/more pleasant,pleasantest/most pleasant
pleased,more pleased,most pleased
pleasing,more pleasing,most pleasing
pleasurable,more pleasurable,most pleasurable
plenteous,more plenteous,most plenteous
plentiful,more plentiful,most plentiful
pliable,more pliable,most pliable
pliant,more pliant,most pliant
plucky,pluckier/more plucky,pluckiest/most plucky
plumb,more plumb,most plumb
plummy,plummier/more plummy,plummiest/most plummy
plump,plumper/more plump,plumpest/most plump
#,pluralist,['plu·ral·is·tic'],[],[],more ~; most ~
plush,plusher/more plush,plushest/most plush
PO'd,more PO'd,most PO'd
podgy,podgier/more podgy,podgiest/most podgy
#,poetic,['po·et·i·cal'],[],[],more ~; most ~
po-faced,more po-faced,most po-faced
poignant,more poignant,most poignant
pointed,more pointed,most pointed
pointless,more pointless,most pointless
pointy,pointier/more pointy,pointiest/most pointy
poisonous,more poisonous,most poisonous
#,poky,['pok·ey'],['pokier', 'est'],['pokier', '-est'],
polite,politer/more polite,politest/most polite
politic,more politic,most politic
polluted,more polluted,most polluted
pompous,more pompous,most pompous
ponderous,more ponderous,most ponderous
poor,poorer/more poor,poorest/most poor
populated,more populated,most populated
populous,more populous,most populous
porcine,more porcine,most porcine
porky,porkier/more porky,porkiest/most porky
pornographic,more pornographic,most pornographic
porous,more porous,most porous
portable,more portable,most portable
portentous,more portentous,most portentous
portly,portlier/more portly,portliest/most portly
posh,posher/more posh,poshest/most posh
possible,more possible,most possible
potable,more potable,most potable
potent,more potent,most potent
potty,pottier/more potty,pottiest/most potty
potty-mouthed,more potty-mouthed,most potty-mouthed
pouchy,pouchier,pouchiest
pouty,poutier,poutiest
powerful,more powerful,most powerful
practicable,more practicable,most practicable
practical,more practical,most practical
pragmatic,more pragmatic,most pragmatic
preachy,preachier/more preachy,preachiest/most preachy
precarious,more precarious,most precarious
precious,more precious,most precious
precipitate,more precipitate,most precipitate
precipitous,more precipitous,most precipitous
precocious,more precocious,most precocious
predictable,more predictable,most predictable
predictive,more predictive,most predictive
predominant,more predominant,most predominant
predominate,more predominate,most predominate
preeminent,more preeminent,most preeminent
preferable,more preferable,most preferable
preferential,more preferential,most preferential
prejudiced,more prejudiced,most prejudiced
prejudicial,more prejudicial,most prejudicial
preoccupied,more preoccupied,most preoccupied
prepossessing,more prepossessing,most prepossessing
prescient,more prescient,most prescient
presentable,more presentable,most presentable
pressing,more pressing,most pressing
prestigious,more prestigious,most prestigious
presumptuous,more presumptuous,most presumptuous
pretentious,more pretentious,most pretentious
pretty,prettier/more pretty,prettiest/most pretty
prevalent,more prevalent,most prevalent
#,pricey,['pricy'],['pricier', 'priciest'],['pric·i·er', '-est'],also more ~; most ~
prickly,pricklier,prickliest
prideful,more prideful,most prideful
priestly,priestlier,priestliest
priggish,more priggish,most priggish
prim,primmer/more prim,primmest/most prim
primal,more primal,most primal
#,primeval,['pri·mae·val'],[],[],more ~; most ~
primitive,more primitive,most primitive
principled,more principled,most principled
prissy,prissier/more prissy,prisest/most prissy
pristine,more pristine,most pristine
private,more private,most private
proactive,more proactive,most proactive
probable,more probable,most probable
problematic/problematical,more problematic/more problematical,most problematic/most problematical
productive,more productive,most productive
profane,more profane,most profane
proficient,more proficient,most proficient
profitable,more profitable,most profitable
profligate,more profligate,most profligate
profound,more profound,most profound
profuse,more profuse,most profuse
prolific,more prolific,most prolific
prolix,more prolix,most prolix
prolonged,more prolonged,most prolonged
prominent,more prominent,most prominent
promiscuous,more promiscuous,most promiscuous
promising,more promising,most promising
prompt,prompter/more prompt,promptest/most prompt
pronounced,more pronounced,most pronounced
propitious,more propitious,most propitious
prosaic,more prosaic,most prosaic
prosperous,more prosperous,most prosperous
protean,more protean,most protean
protected,more protected,most protected
protracted,more protracted,most protracted
protuberant,more protuberant,most protuberant
proud,prouder/more proud,proudest/most proud
provident,more provident,most provident
providential,more providential,most providential
provisional,more provisional,most provisional
provocative,more provocative,most provocative
prudent,more prudent,most prudent
prudential,more prudential,most prudential
prudish,more prudish,most prudish
prurient,more prurient,most prurient
prying,more prying,most prying
psyched,more psyched,most psyched
public-spirited,more public-spirited,most public-spirited
publishable,more publishable,most publishable
puckish,more puckish,most puckish
pudgy,pudgier/more pudgy,pudgiest/most pudgy
puerile,more puerile,most puerile
puffy,puffier/more puffy,puffiest/most puffy
pugnacious,more pugnacious,most pugnacious
pulpy,pulpier/more pulpy,pulpiest/most pulpy
punch-drunk,more punch-drunk,most punch-drunk
punchy,punchier,punchiest
punctilious,more punctilious,most punctilious
punctual,more punctual,most punctual
pungent,more pungent,most pungent
punishing,more punishing,most punishing
puny,punier,puniest
pure,purer/more pure,purest/most pure
puritanical,more puritanical,most puritanical
purple,purpler,purplest
purplish,more purplish,most purplish
purposeful,more purposeful,most purposeful
pushy,pushier/more pushy,pushiest/most pushy
pusillanimous,more pusillanimous,most pusillanimous
put-upon,more put-upon,most put-upon
puzzled,more puzzled,most puzzled
puzzling,more puzzling,most puzzling
quaint,quainter/more quaint,quaintest/most quaint
quarrelsome,more quarrelsome,most quarrelsome
queasy,queasier/more queasy,queasiest/most queasy
queer,queerer,queerest
querulous,more querulous,most querulous
quick,quicker,quickest
quick-tempered,more quick-tempered,most quick-tempered
quick-witted,more quick-witted,most quick-witted
quiet,quieter/more quiet,quietest/most quiet
quixotic,more quixotic,most quixotic
quizzical,more quizzical,most quizzical
quotable,more quotable,most quotable
racialist,more racialist,most racialist
racist,more racist,most racist
racy,racier/more racy,raciest/most racy
rad,radder/more rad,raddest/most rad
radical,more radical,most radical
radioactive,more radioactive,most radioactive
raffish,more raffish,most raffish
ragged,more ragged,most ragged
raggedy,raggedier/more raggedy,raggediest/most raggedy
rainy,rainier/more rainy,rainiest/most rainy
rakish,more rakish,most rakish
rambling,more rambling,most rambling
rambunctious,more rambunctious,most rambunctious
rampant,more rampant,most rampant
ramshackle,more ramshackle,most ramshackle
rancid,more rancid,most rancid
random,more random,most random
randy,randier/more randy,randiest/most randy
rangy,rangier/more rangy,rangiest/most rangy
rapacious,more rapacious,most rapacious
rapid,more rapid,most rapid
rare,rarer/more rare,rarest/most rare
rarefied,more rarefied,most rarefied
raspy,raspier/more raspy,raspiest/most raspy
ratty,rattier,rattiest
raucous,more raucous,most raucous
raunchy,raunchier/more raunchy,raunchiest/most raunchy
ravenous,more ravenous,most ravenous
raw,rawer,rawest
rawboned,more rawboned,most rawboned
razor-sharp,more razor-sharp,most razor-sharp
readable,more readable,most readable
ready,readier/more ready,readiest/most ready
realistic,more realistic,most realistic
reassuring,more reassuring,most reassuring
recalcitrant,more recalcitrant,most recalcitrant
recent,more recent,most recent
receptive,more receptive,most receptive
recherché,more recherché,most recherché
reckless,more reckless,most reckless
reclusive,more reclusive,most reclusive
#,recognizable,['rec·og·nis·able'],[],[],more ~; most ~
red,redder/more red,reddest/most red
red-blooded,more red-blooded,most red-blooded
reddish,more reddish,most reddish
red-faced,more red-faced,most red-faced
redolent,more redolent,most redolent
reedy,reedier/more reedy,reediest/most reedy
refractory,more refractory,most refractory
refreshed,more refreshed,most refreshed
refreshing,more refreshing,most refreshing
regal,more regal,most regal
regimented,more regimented,most regimented
regretful,more regretful,most regretful
regrettable,more regrettable,most regrettable
rejuvenated,more rejuvenated,most rejuvenated
rejuvenating,more rejuvenating,most rejuvenating
relatable,more relatable,most relatable
relaxed,more relaxed,most relaxed
relaxing,more relaxing,most relaxing
relentless,more relentless,most relentless
relevant,more relevant,most relevant
reliable,more reliable,most reliable
reliant,more reliant,most reliant
relieved,more relieved,most relieved
religious,more religious,most religious
reluctant,more reluctant,most reluctant
remarkable,more remarkable,most remarkable
remiss,more remiss,most remiss
remote,remoter/more remote,remotest/most remote
remunerative,more remunerative,most remunerative
renowned,more renowned,most renowned
repentant,more repentant,most repentant
repetitious,more repetitious,most repetitious
reprehensible,more reprehensible,most reprehensible
representative,more representative,most representative
repressed,more repressed,most repressed
repressive,more repressive,most repressive
reproachful,more reproachful,most reproachful
reproving,more reproving,most reproving
republican,more republican,most republican
repugnant,more repugnant,most repugnant
repulsive,more repulsive,most repulsive
reputable,more reputable,most reputable
resentful,more resentful,most resentful
resilient,more resilient,most resilient
resinous,more resinous,most resinous
resistant,more resistant,most resistant
resolute,more resolute,most resolute
resolvable,more resolvable,most resolvable
resonant,more resonant,most resonant
resounding,more resounding,most resounding
resourceful,more resourceful,most resourceful
respectable,more respectable,most respectable
respected,more respected,most respected
respectful,more respectful,most respectful
resplendent,more resplendent,most resplendent
responsive,more responsive,most responsive
rested,more rested,most rested
restful,more restful,most restful
restive,more restive,most restive
restless,more restless,most restless
restrained,more restrained,most restrained
retentive,more retentive,most retentive
reticent,more reticent,most reticent
retro,more retro,most retro
retrograde,more retrograde,most retrograde
retrogressive,more retrogressive,most retrogressive
revealing,more revealing,most revealing
revengeful,more revengeful,most revengeful
reverent,more reverent,most reverent
reverential,more reverential,most reverential
revolting,more revolting,most revolting
rewarding,more rewarding,most rewarding
rhapsodic,more rhapsodic,most rhapsodic
ribald,more ribald,most ribald
rich,richer/more rich,richest/most rich
rickety,more rickety,most rickety
ridiculous,more ridiculous,most ridiculous
right-minded,more right-minded,most right-minded
rigid,more rigid,most rigid
rigorous,more rigorous,most rigorous
riotous,more riotous,most riotous
ripe,riper/more ripe,ripest/most ripe
risible,more risible,most risible
risky,riskier/more risky,riskiest/most risky
risqué,more risqué,most risqué
ritualistic,more ritualistic,most ritualistic
ritzy,ritzier/more ritzy,ritziest/most ritzy
riveting,more riveting,most riveting
robust,more robust,most robust
rocky,rockier/more rocky,rockiest/most rocky
roguish,more roguish,most roguish
romantic,more romantic,most romantic
roomy,roomier/more roomy,roomiest/most roomy
ropy/ropey,ropier,ropiest
rosy,rosier/more rosy,rosiest/most rosy
rotten,more rotten,most rotten
rotund,more rotund,most rotund
rough,rougher/more rough,roughest/most rough
rough-and-ready,more rough-and-ready,most rough-and-ready
rough-and-tumble,more rough-and-tumble,most rough-and-tumble
round,rounder/more round,roundest/most round
roundabout,more roundabout,most roundabout
rowdy,rowdier/more rowdy,rowdiest/most rowdy
rubbery,more rubbery,most rubbery
rubbishy,more rubbishy,most rubbishy
rude,ruder/more rude,rudest/most rude
rudimentary,more rudimentary,most rudimentary
rumbustious,more rumbustious,most rumbustious
ruminative,more ruminative,most ruminative
run-down,more run-down,most run-down
runny,runnier,runniest
rural,more rural,most rural
rustic,more rustic,most rustic
rusty,rustier/more rusty,rustiest/most rusty
ruthless,more ruthless,most ruthless
saccharine,more saccharine,most saccharine
sacred,more sacred,most sacred
sacrosanct,more sacrosanct,most sacrosanct
sad,sadder/more sad,saddest/most sad
saddening,more saddening,most saddening
sadistic,more sadistic,most sadistic
safe,safer/more safe,safest/most safe
sagacious,more sagacious,most sagacious
sage,sager/more sage,sagest/most sage
saggy,saggier/more saggy,saggiest/most saggy
saintly,saintlier/more saintly,saintliest/most saintly
#,salable,['sale·able'],[],[],more ~; most ~
salacious,more salacious,most salacious
salient,more salient,most salient
salty,saltier/more salty,saltiest/most salty
salubrious,more salubrious,most salubrious
salutary,more salutary,most salutary
sanctimonious,more sanctimonious,most sanctimonious
sandy,sandier/more sandy,sandiest/most sandy
sane,saner/more sane,sanest/most sane
sanguine,more sanguine,most sanguine
sappy,sappier/more sappy,sappiest/most sappy
sarcastic,more sarcastic,most sarcastic
sardonic,more sardonic,most sardonic
sarky,sarkier/more sarky,sarkiest/most sarky
sassy,sassier/more sassy,sassiest/most sassy
satisfactory,more satisfactory,most satisfactory
satisfied,more satisfied,most satisfied
satisfying,more satisfying,most satisfying
saturated,more saturated,most saturated
saturnine,more saturnine,most saturnine
saucy,saucier/more saucy,sauciest/most saucy
savage,more savage,most savage
savvy,savvier/more savvy,savviest/most savvy
scabrous,more scabrous,most scabrous
scalding,more scalding,most scalding
scaly,scalier/more scaly,scaliest/most scaly
scandalous,more scandalous,most scandalous
scarce,scarcer/more scarce,scarcest/most scarce
scared,more scared,most scared
scary,scarier/more scary,scariest/most scary
scathing,more scathing,most scathing
scatological,more scatological,most scatological
scatterbrained,more scatterbrained,most scatterbrained
scatty,scattier/more scatty,scattiest/most scatty
scenic,more scenic,most scenic
schlocky,schlockier/more schlocky,schlockiest/most schlocky
schmaltzy,schmaltzier/more schmaltzy,schmaltziest/most schmaltzy
scintillating,more scintillating,most scintillating
scornful,more scornful,most scornful
scraggly,scragglier/more scraggly,scraggliest/most scraggly
scraggy,scraggier/more scraggy,scraggiest/most scraggy
scrappy,scrappier/more scrappy,scrappiest/most scrappy
scratchy,scratchier,scratchiest
scrawny,scrawnier/more scrawny,scrawniest/most scrawny
screwed-up,more screwed-up,most screwed-up
screwy,screwier/more screwy,screwiest/most screwy
scrubby,scrubbier/more scrubby,scrubbiest/most scrubby
scruffy,scruffier/more scruffy,scruffiest/most scruffy
scrumptious,more scrumptious,most scrumptious
scrupulous,more scrupulous,most scrupulous
scummy,scummier/more scummy,scummiest/most scummy
scurrilous,more scurrilous,most scurrilous
scuzzy,scuzzier/more scuzzy,scuzziest/most scuzzy
seamy,seamier/more seamy,seamiest/most seamy
searing,more searing,most searing
seasick,more seasick,most seasick
seaworthy,more seaworthy,most seaworthy
secluded,more secluded,most secluded
secretive,more secretive,most secretive
#,secularist,['sec·u·lar·is·tic'],[],[],more ~; most ~
secure,securer/more secure,securest/most secure
sedate,more sedate,most sedate
sedentary,more sedentary,most sedentary
seditious,more seditious,most seditious
seductive,more seductive,most seductive
seedy,seedier/more seedy,seediest/most seedy
seemly,seemlier/more seemly,seemliest/most seemly
select,more select,most select
selective,more selective,most selective
self-absorbed,more self-absorbed,most self-absorbed
self-assertive,more self-assertive,most self-assertive
self-assured,more self-assured,most self-assured
self-aware,more self-aware,most self-aware
self-confident,more self-confident,most self-confident
self-congratulatory,more self-congratulatory,most self-congratulatory
self-conscious,more self-conscious,most self-conscious
self-controlled,more self-controlled,most self-controlled
self-deprecating,more self-deprecating,most self-deprecating
self-destructive,more self-destructive,most self-destructive
self-disciplined,more self-disciplined,most self-disciplined
self-effacing,more self-effacing,most self-effacing
self-evident,more self-evident,most self-evident
self-important,more self-important,most self-important
self-indulgent,more self-indulgent,most self-indulgent
selfish,more selfish,most selfish
selfless,more selfless,most selfless
self-possessed,more self-possessed,most self-possessed
self-reliant,more self-reliant,most self-reliant
self-righteous,more self-righteous,most self-righteous
self-satisfied,more self-satisfied,most self-satisfied
self-seeking,more self-seeking,most self-seeking
self-serving,more self-serving,most self-serving
self-sufficient,more self-sufficient,most self-sufficient
self-willed,more self-willed,most self-willed
senile,more senile,most senile
sensational,more sensational,most sensational
sensible,more sensible,most sensible
sensitive,more sensitive,most sensitive
sensual,more sensual,most sensual
sensuous,more sensuous,most sensuous
sententious,more sententious,most sententious
sentimental,more sentimental,most sentimental
serene,more serene,most serene
serious,more serious,most serious
serpentine,more serpentine,most serpentine
servile,more servile,most servile
settled,more settled,most settled
severe,severer/more severe,severest/most severe
sexed,more sexed,most sexed
sexist,more sexist,most sexist
sexy,sexier/more sexy,sexiest/most sexy
shabby,shabbier/more shabby,shabbiest/most shabby
shadowy,more shadowy,most shadowy
shady,shadier/more shady,shadiest/most shady
shaggy,shaggier/more shaggy,shaggiest/most shaggy
shaky,shakier/more shaky,shakiest/most shaky
shallow,shallower/more shallow,shallowest/most shallow
shambolic,more shambolic,most shambolic
shamefaced,more shamefaced,most shamefaced
shameful,more shameful,most shameful
shameless,more shameless,most shameless
shapely,shapelier/more shapely,shapeliest/most shapely
sharp,sharper/more sharp,sharpest/most sharp
sharp-tongued,more sharp-tongued,most sharp-tongued
sharp-witted,more sharp-witted,most sharp-witted
sheepish,more sheepish,most sheepish
shifty,shiftier/more shifty,shiftiest/most shifty
shiny,shinier/more shiny,shiniest/most shiny
shirty,shirtier,shirtiest
shitty,shittier/more shitty,shittiest/most shitty
shocking,more shocking,most shocking
shoddy,shoddier,shoddiest
short,shorter,shortest
short-lived,shorter-lived/more short-lived,shortest-lived/most short-lived
short-range,shorter-range,shortest-range
shortsighted,more shortsighted,most shortsighted
short-staffed,more short-staffed,most short-staffed
short-tempered,more short-tempered,most short-tempered
showery,more showery,most showery
showy,showier/more showy,showiest/most showy
shrewd,shrewder/more shrewd,shrewdest/most shrewd
shrill,shriller/more shrill,shrillest/most shrill
shy,shier/shyer,shies/shyest
sick,sicker/more sick,sickest/most sick
sickening,more sickening,most sickening
sickly,sicklier/more sickly,sickliest/most sickly
significant,more significant,most significant
silky,silkier/more silky,silkiest/most silky
silly,sillier/more silly,silliest/most silly
silty,siltier,siltiest
silvery,more silvery,most silvery
similar,more similar,most similar
simple,simpler/more simple,simplest/most simple
simpleminded,more simpleminded,most simpleminded
simplified,more simplified,most simplified
simplistic,more simplistic,most simplistic
sincere,sincerer/more sincere,sincerest/most sincere
sinewy,more sinewy,most sinewy
sinful,more sinful,most sinful
single-minded,more single-minded,most single-minded
sinister,more sinister,most sinister
sinuous,more sinuous,most sinuous
sisterly,more sisterly,most sisterly
skanky,skankier,skankiest
sketchy,sketchier/more sketchy,sketchiest/most sketchy
skewed,more skewed,most skewed
skew-whiff,more skew-whiff,most skew-whiff
skimpy,skimpier/more skimpy,skimpiest/most skimpy
skinny,skinnier/more skinny,skinniest/most skinny
skittish,more skittish,most skittish
slanted,more slanted,most slanted
slapdash,more slapdash,most slapdash
slaphappy,more slaphappy,most slaphappy
sleazy,sleazier,sleaziest
sleek,sleeker/more sleek,sleekest/most sleek
sleepy,sleepier/more sleepy,sleepiest/most sleepy
slender,slenderer/more slender,slenderest/most slender
slick,slicker/more slick,slickest/most slick
slight,slighter,slightest
slim,slimmer/more slim,slimest/most slim
slimy,slimier/more slimy,slimiest/most slimy
slinky,slinkier,slinkiest
slippery,slipperier/more slippery,slipperiest/most slippery
slithery,slitherier/more slithery,slitheriest/most slithery
sloppy,sloppier,sloppiest
sloshed,more sloshed,most sloshed
slothful,more slothful,most slothful
slovenly,more slovenly,most slovenly
slow,slower/more slow,slowest/most slow
slow-witted,more slow-witted,most slow-witted
sludgy,sludgier,sludgiest
sluggish,more sluggish,most sluggish
slushy,slushier,slushiest
slutty,sluttier,sluttiest
sly,slier/slyer,sliest/slyest
small,smaller/more small,smallest/most small
small-minded,more small-minded,most small-minded
smarmy,smarmier,smarmiest
smart,smarter,smartest
smashing,more smashing,most smashing
smelly,smellier,smelliest
smiley,more smiley,most smiley
smitten,more smitten,most smitten
smoggy,smoggier/more smoggy,smoggiest/most smoggy
smoked,more smoked,most smoked
smoke-free,more smoke-free,most smoke-free
smoky/smokey,smokier,smokiest
smooth,smoother,smoothest
smooth-talking,more smooth-talking,most smooth-talking
smudgy,smudgier,smudgiest
smug,smugger,smuggest
smutty,smuttier,smuttiest
snakebit/snakebitten,more snakebit/more snakebitten,most snakebit/most snakebitten
snakelike,more snakelike,most snakelike
snaky,more snaky,most snaky
snappish,more snappish,most snappish
snappy,snappier/more snappy,snappiest/most snappy
snazzy,snazzier/more snazzy,snazziest/most snazzy
sneaky,sneakier/more sneaky,sneakiest/most sneaky
snide,more snide,most snide
sniffy,sniffier/more sniffy,sniffiest/most sniffy
snippy,snippier/more snippy,snippiest/most snippy
snobbish,more snobbish,most snobbish
snobby,snobbier/more snobby,snobbiest/most snobby
snoopy,snoopier,snoopiest
snooty,snootier/more snooty,est/most snooty
snotty,snottier/more snotty,snottiest/most snotty
snowy,snowier/more snowy,snowiest/most snowy
snug,snugger/more snug,snuggest/most snug
soapy,soapier/more soapy,soapiest/most soapy
sober,soberer/more sober,soberest/most sober
sobering,more sobering,most sobering
sociable,more sociable,most sociable
soft,softer,softest
softhearted,more softhearted,most softhearted
softly-spoken,more softly-spoken,most softly-spoken
soft-spoken,more soft-spoken,most soft-spoken
soggy,soggier,soggiest
soldierly,more soldierly,most soldierly
solicitous,more solicitous,most solicitous
soluble,more soluble,most soluble
solvent,more solvent,most solvent
somnolent,more somnolent,most somnolent
sonorous,more sonorous,most sonorous
soothing,more soothing,most soothing
sooty,sootier,sootiest
sophisticated,more sophisticated,most sophisticated
sophomoric,more sophomoric,most sophomoric
soporific,more soporific,most soporific
soppy,soppier/more soppy,soppiest/most soppy
sordid,more sordid,most sordid
sore,sorer/more sore,sorest/most sore
sorrowful,more sorrowful,most sorrowful
sorry,sorrier/more sorry,sorriest/most sorry
sought-after,more sought-after,most sought-after
soul-destroying,more soul-destroying,most soul-destroying
soulful,more soulful,most soulful
sound,sounder/more sound,soundest/most sound
soundproof,more soundproof,most soundproof
